,No.,Name,Yr.,Ht.,Wt.,DOB,Hometown,Position,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,School
,12,"Puricelli, Brandon",Jr,5-10,180,2/4/1998,"Ellisville, Mo.",Forwards,70,,,,Minnesota Duluth,NCHC,Lake-Superior
,14,"Roloson, Brett",Fr,5-11,160,12/29/2000,"Newport Beach, Calif.",Forwards,71,,,,Minot,NAHL,Lake-Superior
,16,"Roy, Harrison",So,6-1,183,1/17/2000,"Lakeville, Mass.",Forwards,73,,,,Boston College,HEA,Lake-Superior
,11,"Tritt, Dawson",Fr,6-2,180,9/1/2000,"Spokane, Wash.",Forwards,74,,,,Lone Star,NAHL,Lake-Superior
,21,"Venegoni, Jordan",Fr,6-0,185,8/16/2000,"Livonia, Mich.",Forwards,72,,,,Amarillo,NAHL,Lake-Superior
,28,"Westcott, Jared",,6-1,200,6/14/1999,"Imperial, Mo.",Forwards,73,,,,Penn State,Big10,Lake-Superior
,19,"Wildauer, Joshua",So,5-8,170,6/16/1999,"Dearborn Heights, Mich.",Forwards,68,,,,Coquitlam,BCHL,Lake-Superior
,3,"Williams, Tyler",So,5-7,175,5/16/2000,"South Lyon, Mich.",Forwards,67,,,,Nanaimo,BCHL,Lake-Superior
,31,"Eisele, Seth",Jr,6-5,195,10/30/1998,"Lake Elmo, Minn.",Goaltenders,77,,,,Lake Superior State,CCHA,Lake-Superior
,30,"Hesse, Easton",Fr,6-0,175,6/28/2000,"Beaumont, Alb.",Goaltenders,72,,,,Bonnyville,AJHL,Lake-Superior
,1,"Langenegger, Ethan",So,6-0,187,9/10/2000,"Kamloops, B.C.",Goaltenders,72,,,,Salmon Arm,BCHL,Lake-Superior
,27,"Anderson, Nick",So,5-10,161,1/4/1999,"Independence, Minn.",Defensemen,70,,,,Sioux Falls,USHL,Colgate
,9,"Belpedio, Nic",Fr,5-10,194,10/9/2001,"Skokie, Ill.",Defensemen,70,,,,Waterloo,USHL,Colgate
,25,"Bergsland, Tommy",Fr,6-3,185,3/23/2001,"Minnetrista, Minn.",Defensemen,75,,,,Bismarck,NAHL,Colgate
,2,"Brandon, Pierson",So,6-0,180,6/6/2000,"Irvington, N.Y.",Defensemen,72,,,,Aberdeen,NAHL,Colgate
,8,"Garrett, PJ",So,6-4,210,1/17/2000,"Duxbury, Mass.",Defensemen,76,,,,Powell,BCHL,Colgate
,4,"McDermott, Elliott",So,5-11,193,2/3/1999,"Kingston, Ont.",Defensemen,71,,,,Colgate,ECAC,Colgate
,3,"Stark, Anthony",Jr,5-9,170,4/9/1999,"New York, N.Y.",Defensemen,69,,,,Colgate,ECAC,Colgate
,26,"Watson-Brawn, Liam",Jr,6-0,190,4/6/1999,"Vancouver, B.C.",Defensemen,72,,,,Prince George,BCHL,Colgate
,28,"DiPaolo, Alex",Fr,6-1,188,4/28/2000,"Oakville, Ont.",Forwards,73,,,,Victoria ,BCHL,Colgate
,20,"Glasman, Levi",So,6-2,172,7/31/1999,"Lacombe, Alb.",Forwards,74,,,,Powell,BCHL,Colgate
,22,"Hanson, Cole",Fr,5-11,180,9/19/2000,"Grand Forks, N.D.",Forwards,71,,,,Colgate,ECAC,Colgate
,15,"Hoey, Jack",Jr,6-1,195,11/3/1998,"Fairfield, Conn.",Forwards,73,,,,Choate Rosemary Hall,PREP,Colgate
,16,"Lunn, Griffin",Sr,5-10,190,11/15/1997,"Lockport, N.Y.",Forwards,70,,,,Sioux Falls,USHL,Colgate
,14,"Manderville, Ethan",Jr,6-4,200,7/1/2000,"Ottawa, Ont.",Forwards,76,,,,Ottawa Jr. Senators,CCHL,Colgate
,5,"McAvoy, Paul (C)",Gr,6-2,195,9/17/1996,"Richmond, Ky.",Forwards,74,,,,Surrey,BCHL,Colgate
,19,"McGuire, Ryan",Fr,6-2,183,7/27/2002,"New Canaan, Conn.",Forwards,74,,,,Penticton,BCHL,Colgate
,7,"McKechney, Josh (C)",Sr,6-2,200,5/29/1997,"Calgary, Alb.",Forwards,74,,,,Brooks,AJHL,Colgate
,17,"Mitton, Ross",So,5-11,183,7/5/2000,"Copiague Harbor, N.Y.",Forwards,71,,,,Omaha,USHL,Colgate
,18,"Raymond, Ben",Fr,5-11,180,8/22/2001,"Newton, Mass.",Forwards,71,,,,Powell River,BCHL,Colgate
,23,"Stewart, Jeff",Sr,6-3,190,2/23/1998,"Surrey, B.C.",Forwards,75,,,,Surrey,BCHL,Colgate
,10,"Vachon, Arnaud",Jr,6-2,210,5/13/1998,"Ajax, Ont.",Forwards,74,,,,Colgate,ECAC,Colgate
,13,"Verboon, Matt",Jr,6-1,195,2/23/2000,"Geneva, Switzerland",Forwards,73,,,,Salmon Arm,BCHL,Colgate
,21,"Young, Alex",So,5-11,180,3/22/2001,"Calgary, Alb.",Forwards,71,2020,SJS,7,Colgate,ECAC,Colgate
,12,"Young, Colton",Jr,6-0,175,8/23/1998,"Calgary, Alb.",Forwards,72,,,,Canmore,AJHL,Colgate
,1,"Benson, Mitch",Sr,6-1,185,6/28/1998,"Windsor, Ont.",Goaltenders,73,,,,Colgate,ECAC,Colgate
,31,"Farrier, Andrew",Sr,6-2,195,10/1/1997,"Montréal, Que.",Goaltenders,74,,,,Kingston,OJHL,Colgate
,32,"Friend, Will",Sr,6-2,165,8/2/1999,"South Hamilton, Mass.",Goaltenders,74,,,,Governor's Academy,PREP,Colgate
,37,"Gylander, Carter",So,6-5,185,6/5/2001,"Beaumont, Alb.",Goaltenders,77,2019,DET,7,Sherwood Park,AJHL,Colgate
,3,"Anderson, Grant",So,6-2,180,9/15/1999,"Plymouth, Minn.",Defensemen,74,,,,Omaha,USHL,Sacred-Heart
,10,"Bates, Alex",Sr,5-11,175,6/17/1997,"Parker, Colo.",Defensemen,71,,,,Wentachee,BCHL,Sacred-Heart
,6,"Britt, Logan",Jr,6-2,190,2/10/1999,"Crystal Lake, Ill.",Defensemen,74,,,,Sacred Heart,AHA,Sacred-Heart
,27,"Dawson, Patrick",Jr,6-0,190,1/14/1999,"Medway, Mass.",Defensemen,72,,,,Sacred Heart,AHA,Sacred-Heart
,2,"Fantauzzi, Dante",So,6-1,190,5/1/2000,"Woodbridge, Ont.",Defensemen,73,,,,Alaska-Anchorage,WCHA,Sacred-Heart
,22,"Hutchison, Conner",Fr,5-11,170,6/2/2000,"Hicksville, N.Y.",Defensemen,71,,,,Tri-City,USHL,Sacred-Heart
,5,"Kulbis-Marino, Andrius",So,6-0,182,2/16/2000,"Methuen, Mass.",Defensemen,72,,,,Tri City,USHL,Sacred-Heart
,7,"Petrick, Daniel",Jr,5-9,199,4/6/1999,"Wilbraham, Mass.",Defensemen,69,,,,Madison,USHL,Sacred-Heart
,28,"Russell, Rourke",Sr,6-0,172,2/25/1998,"Long Beach, Calif.",Defensemen,72,,,,Miami,NCHC,Sacred-Heart
,8,"Sansbury, Hunter",Fr,5-11,180,10/8/2000,"Lomita, Calif.",Defensemen,71,,,,Salmon Arm,BCHL,Sacred-Heart
,4,"Urup, Jeppe",Jr,6-2,176,3/14/1999,"Odense, Denmark",Defensemen,74,,,,Sacred Heart,AHA,Sacred-Heart
,14,"Boyagian, Nick",Sr,6-2,181,7/16/1997,"East Greenbush, N.Y.",Forwards,74,,,,New Jersey,NAHL,Sacred-Heart
,21,"Clifton, Tim",Jr,5-10,165,2/23/1998,"Farmingdale, N.J.",Forwards,70,,,,Shreveport,NAHL,Sacred-Heart
,15,"Conzo, Troy",Sr,5-10,168,2/21/1997,"Nesconset, N.Y.",Forwards,70,,,,Colorado College,NCHC,Sacred-Heart
,17,"Doolin, Ryan",So,6-3,194,2/6/1999,"Hanover, Mass.",Forwards,75,,,,Alberni Valley,BCHL,Sacred-Heart
,19,"Ebrahim, Daniel",Fr,6-0,185,7/12/2000,"Brooklin, Ont.",Forwards,72,,,,Jersey,NCDC,Sacred-Heart
,29,"Goehring, Todd",Sr,5-11,175,7/8/1997,"Wayside, N.J.",Forwards,71,,,,New Jersey,NAHL,Sacred-Heart
,13,"Hoban, Cody",So,5-9,165,4/26/2001,"Guilford, Conn.",Forwards,69,,,,Danbury,NAHL,Sacred-Heart
,18,"Jaworski, John",So,5-10,176,3/20/2000,"Grinnell, Iowa",Forwards,70,,,,Chicago,USHL,Sacred-Heart
,12,"Lombardi, Kevin",Jr,6-4,234,8/12/1998,"Schwenksville, Pa.",Forwards,76,,,,Sioux City,USHL,Sacred-Heart
,24,"Magera, Austin",Sr,6-1,185,7/19/1998,"Suwanee, Ga.",Forwards,73,,,,Chicago Steel,USHL,Sacred-Heart
,9,"Palecco, Dante",Sr,5-11,185,4/18/1998,"Whippany, N.J.",Forwards,71,,,,Yale,ECAC,Sacred-Heart
,16,"Raabe, Dakota",Sr,5-10,170,5/6/1997,"Capistrano Beach, Calif.",Forwards,70,,,,Michigan,B10,Sacred-Heart
,26,"Shea, Neil",So,6-1,198,7/29/1999,"Marshfield, Mass.",Forwards,73,,,,Northeastern,HEA,Sacred-Heart
,11,"Steele, Ryan",Sr,6-1,182,9/13/1997,"Stratford, P.E.I.",Forwards,73,,,,Alberni Valley,BCHL,Sacred-Heart
,20,"Tisdale, Adam",Sr,5-10,167,11/9/1998,"Cochrane, Alb.",Forwards,70,,,,Sacred Heart,AHA,Sacred-Heart
,23,"Tuck, Braeden",Jr,6-0,183,4/15/1998,"Calgary, Alb.",Forwards,72,,,,Trail,BCHL,Sacred-Heart
,30,"Benson, Josh",Sr,6-1,190,11/4/1997,"Stillwater, Minn.",Goaltenders,73,,,,Fairbanks,NAHL,Sacred-Heart
,33,"Lush, Luke",Jr,6-2,194,2/15/1998,"Sherwood Park, Alb.",Goaltenders,74,,,,Sacred Heart,AHA,Sacred-Heart
,1,"O'Dea, Jack",Fr,5-10,140,9/7/2000,"Brighton, Mass.",Goaltenders,70,,,,Bridgton Academy,Prep,Sacred-Heart
,31,"Robbins, Justin",Jr,5-9,172,3/10/1999,"Alpine, N.J.",Goaltenders,69,,,,Arizona State,D1 Independent,Sacred-Heart
,7,"Aamodt, Wyatt",Sr,6-0,200,11/22/1997,"Hermantown, Minn.",Defensemen,72,,,,Lincoln,USHL,Minnesota-State
,22,"Bellini, Steven",Fr,5-10,170,5/23/2000,"Sault Ste. Marie, Ont.",Defensemen,70,,,,Tri-City,USHL,Minnesota-State
,4,"Carroll, Andy",Sr,5-10,178,2/17/1997,"Northfield, Minn.",Defensemen,70,,,,Green Bay,USHL,Minnesota-State
,2,"Hirose, Akito",So,6-0,170,4/9/1999,"Calgary, Alb.",Defensemen,72,,,,Salmon Arm,BCHL,Minnesota-State
,23,"Livingstone, Jake",So,6-3,205,4/16/1999,"Creston, B.C.",Defensemen,75,,,,Langley,BCHL,Minnesota-State
,11,"Maass, Benton",Sr,6-3,205,11/25/1998,"Elk River, Minn.",Defensemen,75,2017,WSH,6,New Hampshire,HEA,Minnesota-State
,27,"Malinowski, Tony",So,6-5,210,10/15/1999,"Clarkston, Mich.",Defensemen,77,,,,Des Moines,USHL,Minnesota-State
,3,"McNeely, Jack",Sr,6-3,187,12/18/1996,"Lakeville, Minn.",Defensemen,75,,,,Tri-City,USHL,Minnesota-State
,17,"Zmolek, Bennett",Fr,6-3,190,4/17/2002,"Rochester, Minn.",Defensemen,75,,,,Minnesota State,CCHA,Minnesota-State
,28,"Borchardt, Cade",Jr,5-11,175,7/6/1998,"Burnsville, Minn.",Forwards,71,,,,Sioux Falls,USHL,Minnesota-State
,9,"Edwards, Tanner",Fr,6-1,170,3/11/2000,"Anchorage, Alaska",Forwards,73,,,,Muskegon,USHL,Minnesota-State
,13,"Furry, Brendan",Jr,6-1,180,7/8/1998,"Toledo, Ohio",Forwards,73,,,,Tri-City,USHL,Minnesota-State
,20,"Gregga, Connor",So,5-10,175,7/24/2000,"Markham, Ont.",Forwards,70,,,,Coquitlam,BCHL,Minnesota-State
,12,"Groll, Josh",So,5-11,180,8/9/2001,"San Diego, Calif.",Forwards,71,,,,Lincoln,USHL,Minnesota-State
,19,"Hillman, Will",Fr,6-2,181,11/22/2000,"Blaine, Minn.",Forwards,74,,,,Youngstown,USHL,Minnesota-State
,16,"Lutz, Reggie",Sr,5-11,180,10/18/1996,"Elk River, Minn.",Forwards,71,,,,Chicago,USHL,Minnesota-State
,6,"Morton, Sam",Jr,6-0,174,7/28/1999,"Lafayette, Colo.",Forwards,72,,,,Union,ECAC,Minnesota-State
,15,"Napravnik, Julian",Sr,5-11,167,5/6/1997,"Bad Nauheim, Germany",Forwards,71,,,,Des Moines,USHL,Minnesota-State
,25,"Olson, Brenden",Fr,6-1,173,10/18/2000,"Eau Claire, Wis.",Forwards,73,,,,Sioux City,USHL,Minnesota-State
,18,"Pavel, Ondrej",So,6-2,205,8/29/2000,"Prague, Czech Republic",Forwards,74,,,,Fargo,USHL,Minnesota-State
,14,"Sandelin, Ryan",Jr,6-0,192,1/3/1999,"Hermantown, Minn.",Forwards,72,,,,Penticton,BCHL,Minnesota-State
,10,"Silye, David",So,5-11,187,3/2/1999,"Arnprior, Ont.",Forwards,71,,,,Minnesota State,CCHA,Minnesota-State
,8,"Smith, Nathan",Jr,6-1,185,10/18/1998,"Hudson, Fla.",Forwards,73,2018,WIN,3,Cedar Rapics,USHL,Minnesota-State
,21,"Sowder, Lucas",Jr,5-11,170,11/15/1998,"Trinity, Fla.",Forwards,71,,,,Wenatchee,BCHL,Minnesota-State
,29,"McKay, Dryden",Sr,6-0,175,11/25/1997,"Downers Grove, Ill.",Goaltenders,72,,,,Madison,USHL,Minnesota-State
,32,"Miller, Andrew",Fr,6-0,182,2/10/2000,"Boulder, Colo.",Goaltenders,72,,,,Fargo,USHL,Minnesota-State
,35,"Rancier, Keenan",Fr,6-2,185,6/21/2000,"Victoria, B.C.",Goaltenders,74,,,,Minot,NAHL,Minnesota-State
,6,"Alami, Cade",Fr,6-7,197,3/13/2001,"Bedford, N.Y.",Defensemen,79,,,,Boston College,HEA,Boston-College
,10,"Andres, Mitch",Jr,6-1,201,9/2/1998,"Brainerd, Minn.",Defensemen,73,,,,Boston College,HEA,Boston-College
,4,"Helleson, Drew",Jr,6-3,191,3/26/2001,"Farmington, Minn.",Defensemen,75,2019,COL,2,USA U-18 Team,NTDP,Boston-College
,7,"Hreschuk, Aidan",Fr,5-11,178,2/19/2003,"Long Beach, Calif.",Defensemen,71,2021,CAR,3,USNTDP,USHL,Boston-College
,2,"Powell, Eamon",So,5-11,165,5/10/2002,"Marcellus, N.Y.",Defensemen,71,2020,TBL,4,USNTDP,USHL,Boston-College
,3,"St. Ivany, Jack",Sr,6-3,185,7/22/1999,"Manhattan Beach, Calif.",Defensemen,75,2018,PHI,4,Sioux Falls,USHL,Boston-College
,5,"Warren, Marshall",Jr,5-11,180,4/20/2001,"Laurel Hollow, N.Y.",Defensemen,71,2019,MIN,6,Boston College,HEA,Boston-College
,8,"Wells, Justin",Sr,6-4,201,7/31/1998,"North Canton, Ohio",Defensemen,76,,,,Bowling Green,WCHA,Boston-College
,27,"Ambrosio, Colby",So,5-9,165,8/7/2002,"Welland, Ont.",Forwards,69,2020,COL,4,Tri-City,USHL,Boston-College
,28,"Argentina, Matt",Fr,5-10,184,1/16/2003,"Philadelphia, Pa.",Forwards,70,,,,Waterloo,USHL,Boston-College
,22,"Carreau, Casey",Sr,5-9,197,3/8/1998,"Acushnet, Mass.",Forwards,69,,,,Boston College,HEA,Boston-College
,9,"Dempsey, Jack",Fr,6-4,204,5/17/2001,"Natick, Mass.",Forwards,76,,,,Jr. Bruins,NCDC,Boston-College
,24,"Giles, Patrick (C)",Sr,6-5,217,1/3/2000,"Chevy Chase, Md.",Forwards,77,,,,USA U-18 Team,NTDP,Boston-College
,26,"Izyk, Liam",Jr,6-1,185,12/27/1998,"Blackie, Alb.",Forwards,73,,,,Boston College,HEA,Boston-College
,20,"Joyce, Connor",Fr,6-0,168,7/6/2001,"Dedham, Mass.",Forwards,72,,,,Jr. Rangers,NCDC,Boston-College
,18,"Kruse, Brandon",Sr,5-9,154,3/26/1999,"Saline, Mich.",Forwards,69,2018,VGK,5,Bowling Green,WCHA,Boston-College
,15,"Kuntar, Trevor",So,6-0,203,6/20/2001,"Williamsville, N.Y.",Forwards,72,2020,BOS,3,Youngstown ,USHL,Boston-College
,11,"McBain, Jack",Sr,6-4,208,1/6/2000,"Toronto, Ont.",Forwards,76,2018,MIN,3,Jr. Canadiens,OJHL,Boston-College
,25,"McLaughlin, Marc (C)",Sr,6-0,210,7/26/1999,"North Billerica, Mass.",Forwards,72,,,,Cedar Rapids,USHL,Boston-College
,13,"Nesterenko, Nikita",So,6-2,176,9/10/2001,"Brooklyn, N.Y.",Forwards,74,2019,MIN,6,Chilliwack,BCHL,Boston-College
,12,"Posma, Mike",Fr,6-0,183,12/4/2001,"Pomona, N.Y.",Forwards,72,,,,Omaha,USHL,Boston-College
,14,"Shamburger, Gentry",So,6-0,186,9/29/2000,"Atlanta, Ga.",Forwards,72,,,,Avon Old Farms,PREP,Boston-College
,19,"Sternschein, Sam",Sr,6-2,192,4/27/1998,"Syosset, N.Y.",Forwards,74,,,,Penn State,Big10,Boston-College
,29,"Dop, Eric",Sr,5-10,159,8/23/1998,"Lewis Center, Ohio",Goaltenders,70,,,,Bowling Green,WCHA,Boston-College
,32,"Moffatt, Jack",Jr,6-3,192,1/8/2001,"Wellesley, Mass.",Goaltenders,75,,,,St. Sebastian's,PREP,Boston-College
,31,"Wilder, Henry",So,6-0,181,3/19/2001,"Needham, Mass.",Goaltenders,72,,,,Boston College,HEA,Boston-College
,37,"Andrews, Nicklas",So,5-10,192,7/6/2001,"Canton, Mich.",Defensemen,70,,,,Des Moines,USHL,Colorado-College
,23,"Blixt, Hugo",Sr,6-4,199,1/2/1998,"Linkoping, Sweden",Defensemen,76,,,,Boston University,HEA,Colorado-College
,7,"Foley, Chase",So,5-10,168,2/17/2000,"Mendota Heights, Minn.",Defensemen,70,,,,Sioux Falls,USHL,Colorado-College
,18,"Mayer, Connor",Jr,5-11,177,6/13/1999,"Champlin, Minn.",Defensemen,71,,,,Central Illinois,USHL,Colorado-College
,5,"Millar, Jack",So,6-5,211,11/30/2000,"Westminster, Colo.",Defensemen,77,,,,Cedar Rapids Roughriders,USHL,Colorado-College
,9,"Ross, Jackson",Sr,6-0,184,3/28/1997,"Denver, Colo.",Defensemen,72,,,,Surrey,BCHL,Colorado-College
,2,"Sasaki, Chad",Jr,5-7,150,2/6/1998,"Cypress, Calif.",Defensemen,67,,,,Wenatchee,BCHL,Colorado-College
,14,"Schweitzer, Nate",Fr,6-0,187,2/21/2002,"Champlin, Minn.",Defensemen,72,,,,Colorado College,NCHC,Colorado-College
,4,"Yoon, Bryan",Sr,6-1,171,1/27/1998,"Parker, Colo.",Defensemen,73,,,,Tri-City,USHL,Colorado-College
,19,"Biro, Jordan",So,5-7,151,8/10/2000,"Sherwood Park, Alb.",Forwards,67,,,,Colorado College,NCHC,Colorado-College
,13,"Chorske, Brett",Fr,6-6,190,5/24/2001,"Edina, Minn.",Forwards,78,,,,Colorado College,NCHC,Colorado-College
,11,"Christy, Ray",So,5-10,165,9/15/1999,"St. Paul, Minn.",Forwards,70,,,,Sioux City,USHL,Colorado-College
,17,"Coffey, Tyler",So,5-10,179,5/19/2000,"Hamilton, N.J.",Forwards,70,,,,Sioux Falls,USHL,Colorado-College
,27,"Cooley, Stanley",Fr,5-11,194,5/27/2002,"Ottawa, Ont.",Forwards,71,,,,Lincoln,USHL,Colorado-College
,10,"Cozzi, Patrick",Jr,5-9,167,4/30/1998,"Greenlawn, N.Y.",Forwards,69,,,,Prince George,BCHL,Colorado-College
,3,"Fensterstock, Cooper",Fr,6-0,181,9/27/2000,"Charlotte, N.C.",Forwards,72,,,,Amarillo,NAHL,Colorado-College
,15,"Gleason, Matthew",So,5-8,170,9/20/2001,"St. Paul, Minn.",Forwards,68,,,,Colorado College,NCHC,Colorado-College
,29,"Hawkinson, Brian",Sr,5-10,170,1/10/1998,"Kailua, Hawaii",Forwards,70,,,,Miami,NCHC,Colorado-College
,16,"Jutting, Jackson",So,5-10,196,2/27/2001,"Savage, Minn.",Forwards,70,,,,Colorado College,NCHC,Colorado-College
,41,"McKown, Hunter",So,6-1,195,8/18/2002,"San Jose, Calif.",Forwards,73,,,,U.S. Under-18,NTDP,Colorado-College
,12,"Middleton, Tommy",Fr,5-11,176,6/19/2000,"Midland, Mich.",Forwards,71,,,,Janesville,NAHL,Colorado-College
,34,"Pasemko, Marc",So,5-9,170,4/6/1999,"Edmonton, Alb.",Forwards,69,,,,Okotoks,AJHL,Colorado-College
,21,"Prokop, Noah",Jr,6-1,198,1/15/2000,"Highlands Ranch, Colo.",Forwards,73,,,,Colorado College,NCHC,Colorado-College
,39,"Weight, Danny",So,5-11,178,5/1/2001,"Lattingtown, N.Y.",Forwards,71,,,,Boston College,HEA,Colorado-College
,20,"Will, Logan",So,5-11,186,6/14/2000,"Ames, Iowa",Forwards,71,,,,Omaha,USHL,Colorado-College
,22,"Basse, Dominic",So,6-6,184,4/22/2001,"Alexandria, Va.",Goaltenders,78,2019,CHI,6,Youngstown,USHL,Colorado-College
,1,"Begley, Jake",So,6-1,158,3/18/1999,"Mahtomedi, Minn.",Goaltenders,73,,,,Brockville,CCHL,Colorado-College
,30,"Vernon, Matt",Jr,5-11,166,3/29/1998,"Calgary, Alb.",Goaltenders,71,,,,Aberdeen,NAHL,Colorado-College
,4,"Cooper, Drew",So,6-1,191,8/28/2000,"Ann Arbor, Mich.",Defensemen,73,,,,Coquitlam,BCHL,Ferris-State
,5,"DeVita, Nico",Fr,6-2,202,5/24/2001,"Bellevue, Wash.",Defensemen,74,,,,New Hampshire,HEA,Ferris-State
,6,"Evennou, Blake",Jr,5-10,185,7/9/1998,"Macomb, Mich.",Defensemen,70,,,,Lone Star,NAHL,Ferris-State
,22,"Farthing, Luke",So,5-10,183,4/21/1999,"Stoutsville, Ohio",Defensemen,70,,,,Ferris State,CCHA,Ferris-State
,7,"Fedorek, Connor",Jr,6-0,193,3/27/1999,"Bethel Park, Pa.",Defensemen,72,,,,Odessa,NAHL,Ferris-State
,2,"Michaelian, Brendon",Sr,6-0,178,12/7/1997,"Wixom, Mich.",Defensemen,72,,,,Ferris State,CCHA,Ferris-State
,28,"Rons, Brenden",Jr,6-6,220,3/3/1998,"Farmington Hills, Mich.",Defensemen,78,,,,Ferris State,CCHA,Ferris-State
,3,"Schultheis, Ben",So,6-3,204,2/17/2000,"Mount Juliet, Tenn.",Defensemen,75,,,,Dubuque,USHL,Ferris-State
,26,"Skinner, Sam",So,5-10,175,3/31/2001,"Schoolcraft, Mich.",Defensemen,70,,,,Minot,NAHL,Ferris-State
,21,"Brancheau, Jason",Jr,5-8,170,8/15/1999,"Brownstown, Mich.",Forwards,68,,,,Amarillo,NAHL,Ferris-State
,13,"Deelstra, Mitch",So,6-0,191,7/15/1999,"Wallace, Ont.",Forwards,72,,,,Ferris State,CCHA,Ferris-State
,11,"Dirks, Jacob",So,6-1,188,9/15/1999,"Mindoro, Wis.",Forwards,73,,,,Chippewa,NAHL,Ferris-State
,18,"Ergang, Kaleb",Fr,5-10,166,12/31/2000,"Spruce Grove, Alb.",Forwards,70,,,,Whitecourt ,AJHL,Ferris-State
,25,"Faremouth, Zach",Fr,6-3,209,1/4/2000,"Jackson, Mich.",Forwards,75,,,,Des Moines,USHL,Ferris-State
,34,"Grimaldi, Nick",Fr,5-7,170,6/26/1999,"Plymouth, Mich.",Forwards,67,,,,Odessa,NAHL,Ferris-State
,27,"Kowalski, Cade",Jr,5-11,181,6/15/1999,"Morden, Man.",Forwards,71,,,,Flin Flon,SJHL,Ferris-State
,20,"MacDougall, Liam",Sr,6-0,191,12/18/1997,"Windsor, Ont.",Forwards,72,,,,LaSalle,GOJHL,Ferris-State
,24,"MacLaren, Brenden",Jr,5-11,196,11/30/1998,"Sault Ste. Marie, Mich.",Forwards,71,,,,Fairbanks,NAHL,Ferris-State
,10,"Marek, Bradley",Fr,6-3,212,11/13/2000,"Big Rapids, Mich.",Forwards,75,,,,Muskegon,USHL,Ferris-State
,8,"McCarthy, Austin",So,6-0,195,3/1/1999,"Ludington, Mich.",Forwards,72,,,,Topeka,NAHL,Ferris-State
,16,"Michaelian, Justin",Sr,6-0,191,12/7/1997,"Wixom, Mich.",Forwards,72,,,,Ferris State,CCHA,Ferris-State
,17,"Moise, Marshall",Sr,6-2,212,10/11/1997,"St. Clair Shores, Mich.",Forwards,74,,,,Madison,USHL,Ferris-State
,9,"Nardecchia, Nick",Fr,5-10,176,1/1/2001,"Macomb, Mich.",Forwards,70,,,,Lincoln,USHL,Ferris-State
,19,"Pokorny, Stepan",So,6-0,190,6/8/2000,"Kolin, Czech Republic",Forwards,72,,,,Madison,USHL,Ferris-State
